					BDI			DI			Rand			Time		
medoidy	klaster	s¹siedzi	populacja	kroki	min	mean	max	min	mean	max	min	mean	max	min	mean	max
29	1	1	4	1002	7,732986	14,352381	32,178291	0,001997	0,007048	0,027532	0,672579	0,680788	0,689623	2	2,4	3
29	1	15	4	1002	6,849629	15,555547	31,872221	0,001169	0,008037	0,019209	0,669739	0,678412	0,686277	2	2,4	3
29	1	29	4	1002	8,423879	12,50088	16,722572	0,002943	0,0099	0,019649	0,67523	0,681	0,688297	2	2,4	3
29	8	1	4	1002	0,853363	5,683684	19,189806	0,002162	0,120927	0,343982	0,600997	0,635696	0,67422	2	2,2	3
29	8	15	4	1002	2,144751	7,268513	15,264228	0,005168	0,043074	0,251782	0,617788	0,661315	0,684951	2	2,4	3
29	8	29	4	1002	0,789579	11,295541	25,069792	0,004654	0,038944	0,227452	0,597084	0,653712	0,685961	2	2,4	3
29	15	1	4	1002	0,894955	3,976025	13,085047	0,015039	0,123909	0,465228	0,565206	0,630716	0,671506	2	2	2
29	15	15	4	1002	0,92557	7,839484	18,004082	0,01199	0,06994	0,213465	0,601881	0,634472	0,689496	2	2,2	3
29	15	29	4	1002	0,084298	2,915338	11,340689	0,004703	0,576432	2,916297	0,521525	0,614035	0,664373	2	2,2	3
29	22	1	4	1002	0,906842	3,437212	6,766648	0,027435	0,168286	0,603543	0,473804	0,573286	0,66633	1	1,8	2
29	22	15	4	1002	0,207916	3,970073	13,543546	0,014876	0,870639	4,69137	0,51597	0,599653	0,665068	2	2	2
29	22	29	4	1002	0,669003	8,392321	14,631568	0,00344	0,215808	1,334964	0,538568	0,612953	0,679965	2	2	2
29	29	1	4	1002	0,690768	3,934081	8,987784	0,014714	0,274711	0,81968	0,421538	0,561201	0,655347	1	1,6	2
29	29	15	4	1002	0,344502	2,675262	4,733073	0,066891	0,525179	1,277256	0,479422	0,56733	0,675357	1	1,8	2
29	29	29	4	1002	0,777284	2,80264	6,960326	0,008199	0,267072	1,091827	0,42684	0,547402	0,659891	1	1,6	2
